,program,output
4759,OP5 -5 ; OP9 4 ; OP11 0 8,0
4760,OP5 -18 ; OP5 5 ; OP7 -15 ; OP7 -7,27
4761,OP5 -10 ; OP9 5 ; OP4 -2 ; OP1 1,-3
4762,OP5 -6 ; OP6 3 0 4 -3 0 ; OP10 -2 ; OP1 1,4
4763,OP5 -7 ; OP5 12 ; OP10 -1,-8
4764,OP5 -16 ; OP11 1 1 ; OP7 8 ; OP11 -1 5 ; OP12 -17,-22
4765,OP5 -14 ; OP4 4 ; OP12 11 ; OP6 -1 -2 2 2 ; OP5 17 ; OP6 -2 2,-4
4766,OP5 11 ; OP6 -3 -2 0 -3 ; OP1 1 ; OP11 -8 6 ; OP12 14 ; OP7 -14 ; OP4 0 ; OP5 -2 ; OP3 9 ; OP7 -2,0
4767,OP5 -7 ; OP6 4 -2 -3 -3 ; OP12 -10 ; OP8 6 ; OP6 2 -4 2 -1 3,48
4768,OP5 -1 ; OP2 5 ; OP11 3 -5 ; OP10 -2 ; OP1 3 ; OP6 1 4 -3,-12
4769,OP2 1 ; OP11 -1 -7 ; OP1 1 ; OP6 -4 2 0 -2 ; OP11 2 2 ; OP8 4 ; OP4 3,8
4770,OP5 19 ; OP5 18 ; OP9 3 ; OP9 -4 ; OP4 -1 ; OP8 8 ; OP7 -7,79
4771,OP5 -14 ; OP6 2 0 -3 0 ; OP3 9 ; OP1 0 ; OP12 0 ; OP7 -9 ; OP11 6 -6 ; OP4 2 ; OP6 -2 0 4 ; OP5 -8,-8
4772,OP5 1 ; OP9 2 ; OP3 4 ; OP10 -2 ; OP6 4 -3,-12
4773,OP5 2 ; OP11 9 -8 ; OP3 3 ; OP6 1 -4 ; OP3 5 ; OP10 -4,20
4774,OP5 4 ; OP2 -5 ; OP1 1 ; OP3 4 ; OP1 2,4
4775,OP9 -5 ; OP7 16 ; OP11 5 -6,-30
4776,OP5 -14 ; OP10 0 ; OP4 5 ; OP9 -4,2
4777,OP5 16 ; OP10 0 ; OP10 5 ; OP12 10 ; OP3 5 ; OP11 -7 -10,70
4778,OP5 -6 ; OP9 5 ; OP12 11 ; OP2 2,5
4779,OP5 5 ; OP9 -1 ; OP12 13,18
4780,OP5 13 ; OP2 -2 ; OP4 -3 ; OP9 -1 ; OP5 -18 ; OP7 5 ; OP6 4 0 -3 ; OP11 0 -8 ; OP9 -1 ; OP1 2,0
4781,OP5 9 ; OP11 2 -7 ; OP8 4,-56
4782,OP5 -7 ; OP6 -1 0 0 ; OP3 3 ; OP6 -2 0,0
4783,OP5 18 ; OP6 2 -1 -2 0 ; OP3 4 ; OP1 1 ; OP6 -2 -1 -4 3 2 ; OP6 -1 1 1 -1 3,3
4784,OP5 6 ; OP10 -5 ; OP4 -5,-13
4785,OP5 -8 ; OP9 -5 ; OP11 3 -8,-24
4786,OP5 6 ; OP9 -3 ; OP11 -10 -5 ; OP1 1 ; OP9 2 ; OP1 1 ; OP3 7 ; OP4 2 ; OP10 3 ; OP11 -4 6,-24
4787,OP5 -14 ; OP2 5 ; OP5 10 ; OP1 2 ; OP4 -5 ; OP9 -3,5
4788,OP5 6 ; OP6 -4 0 4 0 ; OP6 -3 4 -4 ; OP1 2 ; OP2 2 ; OP3 6 ; OP11 -7 4 ; OP2 4,-28
4789,OP5 6 ; OP2 1 ; OP7 6 ; OP1 1 ; OP12 0 ; OP8 -8 ; OP8 -5 ; OP3 8 ; OP6 4 -1 2,-8
4790,OP5 -2 ; OP7 7 ; OP6 -3 2 ; OP11 6 -3 ; OP8 7 ; OP6 2 -4 2 -3,48
4791,OP5 -11 ; OP9 2 ; OP1 1,-11
4792,OP5 -12 ; OP11 -5 -10 ; OP1 1 ; OP5 -1 ; OP4 -2 ; OP1 3 ; OP5 8 ; OP11 1 1 ; OP8 -6,-6
4793,OP5 -2 ; OP2 -1 ; OP8 1 ; OP6 3 -1 ; OP6 -2 4 4 -2 ; OP11 -3 -10 ; OP10 2 ; OP6 -3 0 -4 0,0
4794,OP5 -1 ; OP8 -3 ; OP5 2 ; OP8 1,2
4795,OP5 6 ; OP6 2 0 -1 1 ; OP8 1,0
4796,OP5 20 ; OP12 -15 ; OP7 -4 ; OP1 2 ; OP8 5 ; OP4 3 ; OP7 -15 ; OP4 -5,23
4797,OP5 12 ; OP6 1 3 -1 ; OP6 -1 -2 -1 -1 ; OP12 7 ; OP12 12 ; OP1 2 ; OP10 4,88
4798,OP5 11 ; OP8 -5 ; OP11 -3 3 ; OP3 4 ; OP7 -16 ; OP5 -16,-16
4799,OP5 -3 ; OP7 -4 ; OP5 -3 ; OP2 5 ; OP11 -6 3 ; OP8 6,-108
4800,OP5 1 ; OP9 3 ; OP4 -2 ; OP8 1 ; OP3 6 ; OP10 -2 ; OP11 1 -2 ; OP1 2 ; OP5 1 ; OP7 -4,5
4801,OP5 15 ; OP7 8 ; OP5 5 ; OP6 0 -1 -2 -3 -4,0
4802,OP5 13 ; OP12 -12 ; OP4 -3 ; OP8 -2 ; OP1 1 ; OP1 4 ; OP1 1 ; OP11 -4 1,-4
4803,OP5 7 ; OP2 -1 ; OP4 -5,3
4804,OP5 8 ; OP4 -3 ; OP1 1 ; OP1 0 ; OP1 1 ; OP12 19,21
4805,OP5 12 ; OP11 -3 -10 ; OP8 -6 ; OP6 1 4 ; OP5 -14 ; OP11 -1 2 ; OP1 2,-2
4806,OP5 19 ; OP10 1 ; OP3 5 ; OP7 1 ; OP12 -19 ; OP1 2,3
4807,OP5 -19 ; OP9 -1 ; OP1 0,-19
4808,OP5 -20 ; OP11 -4 -5 ; OP11 -6 -1 ; OP7 16 ; OP11 2 -10 ; OP10 -1 ; OP7 -13 ; OP5 19 ; OP11 5 -7 ; OP10 -2,74
4809,OP5 8 ; OP9 -4 ; OP11 9 3 ; OP1 1 ; OP8 -5,-135
4810,OP5 -7 ; OP10 -3 ; OP1 1 ; OP1 2 ; OP12 1 ; OP1 3 ; OP8 6 ; OP9 5,-414
4811,OP5 4 ; OP10 3 ; OP7 -17 ; OP11 -4 -10 ; OP10 2,84
4812,OP5 -11 ; OP2 4 ; OP10 4 ; OP7 -2 ; OP1 1,-146
4813,OP5 16 ; OP11 6 1 ; OP7 15 ; OP12 15 ; OP12 -2 ; OP10 2 ; OP2 -1,12
4814,OP5 -2 ; OP2 -1 ; OP11 7 7 ; OP3 5 ; OP6 -2 0 -4 -4 ; OP3 6 ; OP12 -2,47
4815,OP5 12 ; OP11 5 -3 ; OP4 0 ; OP10 -1 ; OP12 0 ; OP1 4,12
4816,OP5 20 ; OP10 0 ; OP10 2 ; OP4 -4 ; OP1 2 ; OP11 7 -7 ; OP7 9 ; OP1 3 ; OP1 3,-58
4817,OP5 11 ; OP9 3 ; OP1 0 ; OP6 0 -4 3 ; OP6 -3 -3 2 ; OP6 -3 -4 1 ; OP2 0,12
4818,OP5 -12 ; OP11 3 -5 ; OP5 -14 ; OP7 4 ; OP10 3,-50
4819,OP5 -18 ; OP2 4 ; OP11 -4 7 ; OP1 0 ; OP8 6 ; OP6 -4 3 -1 -1 ; OP11 -9 6,-54
4820,OP5 20 ; OP9 2 ; OP8 -1,-20
4821,OP5 20 ; OP8 7 ; OP1 1,980
4822,OP5 6 ; OP11 10 5 ; OP4 5 ; OP1 0 ; OP3 6 ; OP3 7 ; OP6 1 3 -4 ; OP1 4 ; OP2 -5,-12
4823,OP5 10 ; OP7 4 ; OP6 -4 -1 0 -3 ; OP8 3,0
4824,OP5 -19 ; OP4 -4 ; OP12 16 ; OP11 -5 -4 ; OP4 -3 ; OP11 -1 4 ; OP1 3,-4
4825,OP5 -16 ; OP9 -3 ; OP1 0,-16
4826,OP5 -4 ; OP7 12 ; OP1 1,-28
4827,OP5 3 ; OP12 13 ; OP2 -2 ; OP5 -5 ; OP5 17 ; OP6 -3 -1 -3 -2 1 ; OP1 2 ; OP1 3 ; OP1 0 ; OP11 -2 0,0
4828,OP5 -4 ; OP12 19 ; OP3 4 ; OP2 3 ; OP6 2 -1,-2
4829,OP5 19 ; OP5 -2 ; OP8 -6 ; OP7 18,-6
4830,OP5 -14 ; OP12 -2 ; OP1 0 ; OP3 5 ; OP7 -3 ; OP12 -20,-36
4831,OP5 9 ; OP2 1 ; OP6 -1 -2 4 -4 -4 ; OP6 -3 1 1 3 4 ; OP11 -2 10 ; OP11 4 7,28
4832,OP5 -9 ; OP10 1 ; OP1 1 ; OP5 -16 ; OP5 -12 ; OP2 -2,-12
4833,OP5 13 ; OP4 -1 ; OP7 10 ; OP4 2 ; OP5 10 ; OP4 -2 ; OP8 9,45
4834,OP5 20 ; OP4 4 ; OP1 1 ; OP3 9 ; OP2 -4 ; OP4 -3 ; OP1 3 ; OP12 -12 ; OP7 12 ; OP6 3 0 1 2 -2,0
4835,OP5 -12 ; OP6 -2 1 3 3 0 ; OP1 0 ; OP5 -14,-14
4836,OP5 -14 ; OP7 15 ; OP11 6 5 ; OP3 4 ; OP1 2 ; OP11 5 9 ; OP6 -3 4 ; OP8 7 ; OP2 0,-84
4837,OP5 9 ; OP2 -3 ; OP11 3 0,0
4838,OP5 -13 ; OP12 -18 ; OP5 -18 ; OP12 17 ; OP8 -3 ; OP11 8 8,64
4839,OP5 -18 ; OP2 1 ; OP11 -10 -4 ; OP2 5 ; OP6 -4 2 -2 4,64
4840,OP5 -2 ; OP2 -4 ; OP12 -6 ; OP8 -1 ; OP4 4,4
4841,OP5 -8 ; OP11 1 3 ; OP1 1 ; OP1 1 ; OP1 0 ; OP7 -3,6
4842,OP7 12 ; OP10 3 ; OP3 3 ; OP11 4 2,8
4843,OP11 6 3 ; OP5 -10 ; OP7 8 ; OP1 2 ; OP7 12 ; OP5 -1 ; OP4 -3,-1
4844,OP5 -20 ; OP11 -2 2 ; OP2 -1 ; OP8 8 ; OP1 3 ; OP9 5 ; OP2 1 ; OP1 1,-32
4845,OP5 -15 ; OP7 -16 ; OP10 3 ; OP12 -8 ; OP1 1 ; OP2 1 ; OP10 3 ; OP6 2 -3 0 -3 ; OP11 -5 1,-5
4846,OP5 -13 ; OP9 -1 ; OP1 1 ; OP3 4 ; OP7 -4 ; OP7 3 ; OP1 3,-11
4847,OP5 -7 ; OP9 -2 ; OP1 1,-7
4848,OP5 13 ; OP4 3 ; OP5 18 ; OP7 15,3
4849,OP5 -14 ; OP7 -3 ; OP1 1 ; OP1 0 ; OP10 -3 ; OP2 1,37
4850,OP5 0 ; OP2 -3 ; OP5 -18 ; OP6 3 2 1 -1 ; OP10 2,-8
4851,OP5 8 ; OP4 4 ; OP10 3 ; OP10 4 ; OP5 -7 ; OP1 4 ; OP1 5,-7
4852,OP5 9 ; OP7 -16 ; OP4 -5 ; OP11 -8 -8 ; OP7 3,61
4853,OP6 -3 -2 ; OP6 -4 -1 1 ; OP4 2,2
4854,OP5 19 ; OP7 -6 ; OP7 -12 ; OP8 3,111
4855,OP5 -2 ; OP11 4 -2 ; OP8 7,-56
4856,OP5 -8 ; OP6 3 -1 -3 ; OP10 5 ; OP1 0 ; OP7 -10 ; OP2 -1 ; OP1 2 ; OP5 8 ; OP12 15,23
4857,OP2 -4 ; OP12 2 ; OP3 3 ; OP1 2 ; OP2 -1,2
4858,OP5 -12 ; OP11 -4 7 ; OP1 1 ; OP4 4,-14
4859,OP5 -3 ; OP10 2 ; OP4 1 ; OP5 20 ; OP5 4 ; OP6 -1 2 2 -3 1 ; OP8 -2,-24
4860,OP5 -13 ; OP6 0 0 ; OP1 0 ; OP10 5 ; OP12 -9 ; OP4 5 ; OP1 0 ; OP9 0,-3
4861,OP5 -8 ; OP8 -7 ; OP7 14 ; OP1 0 ; OP2 1 ; OP1 1 ; OP1 4 ; OP3 8 ; OP7 6,-314
4862,OP5 19 ; OP5 20 ; OP8 -2,-40
4863,OP5 -16 ; OP4 -5 ; OP1 1 ; OP6 -2 -3 4 1 ; OP9 -1,24
4864,OP5 -8 ; OP5 -6 ; OP5 -18 ; OP1 2,-18
4865,OP5 9 ; OP4 -1 ; OP4 3 ; OP4 -1 ; OP8 3 ; OP7 9 ; OP8 2 ; OP5 -16,-16
4866,OP5 4 ; OP9 3 ; OP6 -3 -4 0,0
4867,OP5 -17 ; OP11 -10 7 ; OP4 -1 ; OP11 -4 -8 ; OP4 -3 ; OP12 0 ; OP7 -12 ; OP4 -5,14
4868,OP5 -13 ; OP7 19 ; OP6 0 -3 -4,0
4869,OP5 -19 ; OP2 5 ; OP8 -3 ; OP4 2 ; OP3 7 ; OP6 1 -1 -1 0 ; OP6 2 -2 -3 4 2 ; OP6 -2 -1 2 4 1,16
4870,OP5 6 ; OP9 1 ; OP3 3 ; OP5 12 ; OP6 3 2 4 3 ; OP8 1,72
4871,OP5 -13 ; OP9 -1 ; OP11 7 6 ; OP5 -7 ; OP7 8 ; OP1 0,-15
4872,OP5 13 ; OP9 -3 ; OP1 1,13
4873,OP9 1 ; OP2 0 ; OP12 -9,-9
4874,OP5 18 ; OP6 -1 1 -3 ; OP1 1 ; OP6 -3 2 2 -4 0,0
4875,OP5 -19 ; OP10 -3 ; OP8 -9 ; OP4 0 ; OP7 -8 ; OP4 1 ; OP12 0 ; OP7 -10 ; OP11 -7 -3,21
4876,OP9 -5 ; OP11 -6 -10 ; OP11 10 -5 ; OP7 13 ; OP1 0 ; OP11 -9 -9,81
4877,OP5 -4 ; OP4 -3 ; OP12 10 ; OP11 8 -5 ; OP11 3 2 ; OP9 -2,6
4878,OP5 -8 ; OP7 -3 ; OP6 2 -4,-8
4879,OP5 5 ; OP12 -5 ; OP3 7 ; OP4 2 ; OP1 1 ; OP1 1 ; OP9 -3 ; OP10 1,4
4880,OP5 4 ; OP2 1 ; OP8 7,28
4881,OP5 -13 ; OP4 0 ; OP8 -4 ; OP11 5 3,15
4882,OP5 -8 ; OP12 11 ; OP1 0 ; OP3 5 ; OP5 7 ; OP12 5 ; OP12 3 ; OP11 -9 -2 ; OP12 9,27
4883,OP5 1 ; OP4 -5 ; OP10 1 ; OP4 2 ; OP12 -14,-12
4884,OP5 -4 ; OP7 20 ; OP1 0 ; OP10 3,-68
4885,OP5 -19 ; OP7 13 ; OP7 16 ; OP4 -3 ; OP1 3 ; OP4 0 ; OP4 0,-3
4886,OP5 11 ; OP2 -5 ; OP11 0 1 ; OP6 0 -4 4 ; OP12 -3 ; OP1 4 ; OP12 4 ; OP3 8 ; OP6 -1 0 -1 ; OP1 6,0
4887,OP5 16 ; OP10 0 ; OP1 0 ; OP1 2 ; OP11 0 -7 ; OP3 6 ; OP1 3 ; OP2 -1 ; OP4 4 ; OP6 0 2 2 1 0,0
4888,OP5 -20 ; OP4 -4 ; OP1 1 ; OP5 -8,-8
4889,OP5 -16 ; OP6 -3 3 3 -4 ; OP1 0 ; OP3 4 ; OP1 1,108
4890,OP2 4 ; OP11 -3 1 ; OP9 0,-3
4891,OP5 15 ; OP11 -7 -1 ; OP6 4 2 ; OP12 0 ; OP6 -2 1 -3 -3 0 ; OP1 0 ; OP5 -7 ; OP1 5 ; OP7 15 ; OP2 3,-22
4892,OP5 -16 ; OP8 -8 ; OP9 -2 ; OP11 3 10 ; OP7 -1 ; OP7 -3 ; OP12 13 ; OP10 -3 ; OP4 -1,-69
4893,OP5 -12 ; OP11 -1 -2 ; OP10 1 ; OP7 -1 ; OP3 5 ; OP6 4 -2 1 ; OP8 -2,16
4894,OP5 -2 ; OP9 -5 ; OP6 2 2 ; OP3 4 ; OP7 -12,16
4895,OP5 19 ; OP2 4 ; OP10 3 ; OP5 18 ; OP12 7 ; OP7 3,22
4896,OP5 -19 ; OP8 4 ; OP1 0 ; OP1 1 ; OP5 7 ; OP4 -1 ; OP8 7 ; OP11 -7 0 ; OP4 -2,0
4897,OP5 16 ; OP4 2 ; OP12 5,13
4898,OP5 1 ; OP11 5 -7 ; OP1 0 ; OP6 -3 -4 -1 -2 3 ; OP12 -9 ; OP10 1,67
4899,OP5 17 ; OP7 16 ; OP10 -4 ; OP7 -7 ; OP1 0 ; OP11 9 10 ; OP11 3 8,24
4900,OP5 -4 ; OP9 -5 ; OP7 20 ; OP1 0 ; OP3 5 ; OP10 5 ; OP2 -1,-116
4901,OP5 9 ; OP10 -1 ; OP8 -8 ; OP10 -3 ; OP12 12 ; OP7 20 ; OP6 -3 2 -4 -4 ; OP8 9,-864
4902,OP5 -2 ; OP4 -2 ; OP3 3 ; OP10 0,4
4903,OP5 -18 ; OP2 -5 ; OP1 0 ; OP7 -7 ; OP1 3 ; OP7 20 ; OP1 0 ; OP1 5 ; OP1 5,-71
4904,OP5 -16 ; OP11 -1 -5 ; OP11 2 8 ; OP9 3,16
4905,OP5 14 ; OP8 -9 ; OP12 11,-115
4906,OP5 -8 ; OP12 -18 ; OP5 -13 ; OP11 5 -9 ; OP6 0 -1 -3 2 -4,0
4907,OP5 -15 ; OP7 18 ; OP8 -5 ; OP5 -14 ; OP7 14 ; OP10 -3 ; OP3 7 ; OP1 6,88
4908,OP5 19 ; OP5 -10 ; OP1 1 ; OP2 3 ; OP5 -5 ; OP11 1 -8 ; OP11 2 -1 ; OP7 1 ; OP7 14 ; OP5 15,15
4909,OP5 15 ; OP10 -1 ; OP1 0 ; OP3 5 ; OP5 15 ; OP8 -4 ; OP1 0,-60
4910,OP5 -2 ; OP2 5 ; OP1 1 ; OP2 2 ; OP1 2 ; OP7 7 ; OP8 -2,18
4911,OP5 19 ; OP11 -1 10 ; OP3 3 ; OP8 9,-90
4912,OP5 19 ; OP2 2 ; OP3 3 ; OP1 0,19
4913,OP10 0 ; OP8 -7 ; OP11 -4 7 ; OP12 -12 ; OP1 2 ; OP4 4 ; OP7 20 ; OP1 0,-40
4914,OP9 0 ; OP9 -3 ; OP3 4 ; OP12 20 ; OP2 1 ; OP5 5 ; OP4 0 ; OP10 2 ; OP8 -4 ; OP8 -3,96
4915,OP5 -1 ; OP6 4 -2 ; OP1 1,-8
4916,OP5 -7 ; OP5 -8 ; OP1 0 ; OP1 0 ; OP11 5 -8,-40
4917,OP5 -10 ; OP2 3 ; OP1 1,-10
4918,OP5 -20 ; OP11 9 -9 ; OP1 1 ; OP11 -5 4 ; OP1 3 ; OP4 2 ; OP10 -3 ; OP5 9 ; OP10 -1 ; OP10 3,-11
4919,OP5 20 ; OP12 -7 ; OP1 0 ; OP4 3 ; OP6 -1 -4 -4 1 -2 ; OP11 -1 -5 ; OP8 -1 ; OP1 4 ; OP6 1 -4 -1,4
4920,OP5 -19 ; OP10 -5 ; OP7 2 ; OP11 -2 -8 ; OP2 -4,16
4921,OP11 5 9 ; OP9 3 ; OP10 4 ; OP2 -1 ; OP6 0 0 ; OP1 4 ; OP6 2 4 0 ; OP6 2 -3 -4 -2 ; OP8 -1,48
4922,OP5 -19 ; OP10 -4 ; OP1 0 ; OP3 4 ; OP10 2 ; OP3 6 ; OP1 4 ; OP8 1 ; OP1 5,332
4923,OP5 -3 ; OP7 -9 ; OP6 0 -3 3 -3 ; OP1 2,0
4924,OP5 -17 ; OP9 2 ; OP1 0,-17
4925,OP5 7 ; OP12 -4 ; OP6 1 -4 -2 ; OP8 7,56
4926,OP5 -14 ; OP4 -5 ; OP10 5 ; OP4 1 ; OP3 5 ; OP4 2,-8
4927,OP5 -6 ; OP12 -14 ; OP6 -4 -2 -2 ; OP1 0 ; OP8 -6 ; OP4 3 ; OP9 4 ; OP9 0,48
4928,OP5 18 ; OP11 -6 -9 ; OP11 3 -1 ; OP5 17 ; OP1 3,17
4929,OP5 -13 ; OP10 3 ; OP8 5 ; OP5 -14 ; OP1 0 ; OP1 4,-14
4930,OP5 -15 ; OP9 1 ; OP5 18,18
4931,OP5 1 ; OP5 10 ; OP12 5 ; OP6 1 2 ; OP6 -2 3 -2 3 2 ; OP7 2 ; OP7 -13,83
4932,OP5 -5 ; OP6 2 4 -1 4 2 ; OP3 4 ; OP11 0 2 ; OP8 -3,192
4933,OP5 15 ; OP12 -4 ; OP7 -16 ; OP3 4 ; OP5 -20 ; OP12 -5 ; OP4 -3 ; OP6 4 -2 1,-8
4934,OP5 11 ; OP8 -2 ; OP7 -17 ; OP3 4 ; OP11 -4 3,-12
4935,OP2 -3 ; OP12 -2 ; OP1 1 ; OP1 1 ; OP12 -19 ; OP9 -1,-25
4936,OP5 -17 ; OP6 2 -4 1 -2 -4 ; OP7 -5 ; OP11 -9 -7 ; OP7 -4 ; OP5 10 ; OP8 -8,-80
4937,OP5 -15 ; OP6 1 0 3 ; OP1 1 ; OP2 5 ; OP1 1,0
4938,OP5 -11 ; OP9 2 ; OP1 0 ; OP7 0 ; OP1 3 ; OP1 4 ; OP4 -3 ; OP4 -3,-3
4939,OP5 19 ; OP2 -2 ; OP10 -5 ; OP6 -3 -4 3 3,108
4940,OP5 2 ; OP2 -2 ; OP11 1 8 ; OP8 -3 ; OP10 -1 ; OP1 3 ; OP1 5 ; OP1 1 ; OP11 -10 -6,60
4941,OP5 -8 ; OP11 10 6 ; OP5 7 ; OP12 -7 ; OP4 0 ; OP1 1 ; OP11 -2 3 ; OP11 -1 -10 ; OP11 -5 3,-15
4942,OP5 -14 ; OP7 1 ; OP6 3 1 -2 1 ; OP1 0 ; OP7 16,-22
4943,OP5 -7 ; OP9 3 ; OP1 0 ; OP11 10 -4 ; OP11 -8 -7 ; OP4 1 ; OP1 1 ; OP11 2 5,10
4944,OP5 -14 ; OP4 -2 ; OP1 0 ; OP6 -4 3 0,0
4945,OP6 -4 1 -4 ; OP2 2 ; OP2 5 ; OP12 -20 ; OP1 2 ; OP1 0,-4
4946,OP5 -15 ; OP11 6 -6 ; OP1 1 ; OP7 -19 ; OP4 4,-9
4947,OP5 9 ; OP12 -13 ; OP12 9,5
4948,OP5 16 ; OP6 3 3 2 3 ; OP2 3 ; OP10 4,220
4949,OP5 12 ; OP6 3 -4 -2 2 -2 ; OP3 3 ; OP11 -3 -2 ; OP5 -2 ; OP1 3 ; OP1 1 ; OP3 8 ; OP4 3,-1
4950,OP5 1 ; OP2 -4 ; OP12 -1 ; OP1 0 ; OP1 0 ; OP10 1 ; OP9 0,4
4951,OP10 -3 ; OP2 3 ; OP1 1 ; OP9 -2,4
4952,OP5 9 ; OP10 3 ; OP1 1 ; OP10 -4 ; OP6 3 -3 0 2 -1 ; OP5 6 ; OP1 4 ; OP6 -3 1 0 3,0
4953,OP5 11 ; OP5 -4 ; OP1 0 ; OP4 1 ; OP12 -9 ; OP6 2 -2 3 ; OP7 8 ; OP8 -8,160
4954,OP5 9 ; OP5 -18 ; OP10 3 ; OP11 6 1 ; OP1 1 ; OP3 8 ; OP5 -12 ; OP1 6 ; OP10 4,28
4955,OP5 -19 ; OP9 -4 ; OP1 0 ; OP6 3 3 ; OP7 -8 ; OP6 1 1 2 -2 -4 ; OP6 4 -1 4 ; OP11 9 7,63
4956,OP5 -2 ; OP2 2 ; OP1 0 ; OP1 1,-2
4957,OP5 20 ; OP4 -1 ; OP1 0 ; OP1 1 ; OP1 1 ; OP5 -14 ; OP1 5 ; OP3 8 ; OP2 0,-14
4958,OP5 7 ; OP6 2 4 0 -2 ; OP6 -4 4 2 ; OP1 2 ; OP1 1,-32
4959,OP5 -10 ; OP2 -3 ; OP12 3 ; OP1 2,-4
4960,OP5 -14 ; OP5 20 ; OP10 2,44
4961,OP5 5 ; OP9 -2 ; OP12 -18 ; OP7 -2 ; OP5 17 ; OP8 1,17
4962,OP5 -18 ; OP11 -2 -10 ; OP10 5 ; OP6 0 -4 -2 -3 ; OP7 -12 ; OP11 0 -4 ; OP12 -13,-13
4963,OP5 -4 ; OP6 4 4 1 0 ; OP7 9,-9
4964,OP5 -13 ; OP9 1 ; OP10 3 ; OP1 1 ; OP12 -1 ; OP12 -12 ; OP8 1 ; OP2 3,-114
4965,OP5 -12 ; OP9 3 ; OP10 2 ; OP4 1,-10
4966,OP5 7 ; OP4 2 ; OP6 1 1 ; OP3 4 ; OP8 5,5
4967,OP5 -13 ; OP2 -3 ; OP11 3 3 ; OP4 -4 ; OP8 -7 ; OP1 1,-28
4968,OP5 -5 ; OP2 4 ; OP8 5 ; OP3 4 ; OP12 3,-22
4969,OP5 -14 ; OP12 20 ; OP12 5 ; OP6 -4 -4 2 4,128
4970,OP5 -10 ; OP12 -11 ; OP12 4 ; OP8 -6 ; OP2 -5 ; OP1 1 ; OP3 7 ; OP5 -4,-4
4971,OP5 -20 ; OP4 -5 ; OP6 0 1,0
4972,OP5 -17 ; OP11 -10 -7 ; OP11 2 -2 ; OP1 0 ; OP11 -2 3,-6
4973,OP5 17 ; OP8 -9 ; OP5 10 ; OP3 6 ; OP12 -6 ; OP10 -1 ; OP8 -7 ; OP3 8 ; OP12 -4 ; OP7 5,-79
4974,OP5 9 ; OP6 1 4 -1 0 1 ; OP8 -8 ; OP1 1 ; OP4 -5 ; OP10 -5 ; OP11 7 -2,-14
4975,OP5 -18 ; OP11 -6 -2 ; OP1 0,12
4976,OP9 4 ; OP12 13 ; OP7 -17 ; OP11 7 -2 ; OP3 6 ; OP11 -10 0 ; OP4 2,-7
4977,OP5 -10 ; OP9 -4 ; OP12 -5 ; OP5 15,15
4978,OP5 -9 ; OP11 5 -1 ; OP12 0 ; OP6 0 4 -3 4 2 ; OP1 2 ; OP5 -18 ; OP10 3 ; OP11 -3 -6 ; OP1 1,18
4979,OP5 -8 ; OP12 0 ; OP6 1 1 ; OP1 1 ; OP1 1 ; OP4 2,0
4980,OP5 -2 ; OP5 7 ; OP9 5 ; OP10 2 ; OP1 3 ; OP1 1 ; OP4 1 ; OP6 -3 1 -2 ; OP9 5 ; OP11 4 -8,-32
4981,OP5 18 ; OP12 14 ; OP1 1 ; OP1 2 ; OP1 1,60
4982,OP5 -1 ; OP9 -1 ; OP2 2,-1
4983,OP5 -17 ; OP8 -2 ; OP8 -9 ; OP2 -3,-306
4984,OP5 1 ; OP11 5 -2 ; OP2 -4 ; OP10 1 ; OP12 11 ; OP12 10 ; OP3 7 ; OP2 3 ; OP11 10 3,30
4985,OP5 -8 ; OP7 -7 ; OP1 1 ; OP5 15 ; OP12 20 ; OP7 12 ; OP5 2 ; OP6 -4 2,-8
4986,OP5 19 ; OP11 9 -2 ; OP10 -3 ; OP7 14 ; OP8 -6 ; OP5 -4 ; OP8 -1 ; OP1 2,4
4987,OP5 2 ; OP5 1 ; OP8 3 ; OP1 2 ; OP11 -4 -8,32
4988,OP5 -17 ; OP12 18 ; OP11 9 9,81
4989,OP5 15 ; OP12 17 ; OP7 -5 ; OP12 -2 ; OP12 -15 ; OP5 0,0
4990,OP5 15 ; OP11 -6 3 ; OP6 3 -4 -3 ; OP11 3 -5 ; OP11 -8 -5 ; OP12 -20 ; OP1 4,20
4991,OP5 14 ; OP9 4 ; OP3 4 ; OP1 1 ; OP6 -2 1 -3 -2 -1 ; OP1 0 ; OP3 8 ; OP1 1 ; OP12 1 ; OP7 -11,24
4992,OP11 0 4 ; OP11 4 8 ; OP1 1 ; OP1 0 ; OP11 4 -10,-40
4993,OP5 0 ; OP9 -1 ; OP11 -9 -2 ; OP11 6 4 ; OP8 -3 ; OP1 1 ; OP5 11,11
4994,OP5 3 ; OP11 -3 -9 ; OP1 0 ; OP10 0,4
4995,OP5 -8 ; OP5 -1 ; OP3 6 ; OP1 0 ; OP11 -7 9 ; OP4 -1 ; OP1 2 ; OP5 1 ; OP1 2 ; OP11 3 7,21
4996,OP5 -2 ; OP6 -1 -4 ; OP6 4 -4 -4 1,64
4997,OP5 13 ; OP4 1 ; OP3 6 ; OP4 0 ; OP2 3 ; OP1 1 ; OP10 3 ; OP1 5,19
4998,OP6 1 0 -4 ; OP6 -4 -3 -3 0 -4 ; OP5 2 ; OP11 8 -6 ; OP7 -16 ; OP11 6 3,18
